Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
2-rep3;sample;sample;NA;2;L2_0.45_April22;3
3-rep3;sample;sample;NA;3;L3_0.45_April22;3
4-rep3;sample;sample;NA;4;L4_0.45_April22;3
5-rep3;sample;sample;NA;5;L5_0.45_April22;3
6-rep3;sample;sample;NA;6;L6_0.45_April22;3
7-rep3;sample;sample;NA;7;L7_0.45_April22;3
8-rep3;sample;sample;NA;8;L8_0.45_April22;3
9-rep3;sample;sample;NA;9;L9_0.45_April22;3
10-rep3;sample;sample;NA;10;L10_0.45B_April22;3
11-rep3;sample;sample;NA;11;L10_0.45O_April22;3
12-rep3;sample;sample;NA;12;L10_0.45R_April22;3
14-rep3;sample;sample;NA;14;L11_0.45_April22;3
15-rep3;sample;sample;NA;15;L12_0.45_April22;3
16-rep3;sample;sample;NA;16;L1_0.45_May22;3
17-rep3;sample;sample;NA;17;L2_0.45_May22;3
18-rep3;sample;sample;NA;18;L3_0.45_May22;3
19-rep3;sample;sample;NA;19;L4_0.45_May22;3
20-rep3;sample;sample;NA;20;L5_0.45_May22;3
21-rep3;sample;sample;NA;21;L6_0.45B_May22;3
22-rep3;sample;sample;NA;22;L6_0.45O_May22;3
23-rep3;sample;sample;NA;23;L6_0.45R_May22;3
25-rep3;sample;sample;NA;25;L7_0.45_May22;3
26-rep3;sample;sample;NA;26;L8_0.45_May22;3
27-rep3;sample;sample;NA;27;L9_0.45_May22;3
28-rep3;sample;sample;NA;28;L10_0.45_May22;3
29-rep3;sample;sample;NA;29;L11_0.45_May22;3
30-rep3;sample;sample;NA;30;L12_0.45_May22;3
31-rep3;sample;sample;NA;31;L1_0.45B_June22;3
32-rep3;sample;sample;NA;32;L1_0.45O_June22;3
33-rep3;sample;sample;NA;33;L1_0.45R_June22;3
35-rep3;sample;sample;NA;35;L2_0.45_June22;3
36-rep3;sample;sample;NA;36;L3_0.45_June22;3
37-rep3;sample;sample;NA;37;L4_0.45_June22;3
38-rep3;sample;sample;NA;38;L5_0.45_June22;3
39-rep3;sample;sample;NA;39;L6_0.45_June22;3
40-rep3;sample;sample;NA;40;L7_0.45_June22;3
41-rep3;sample;sample;NA;41;L8_0.45_June22;3
42-rep3;sample;sample;NA;42;L9_0.45_June22;3
43-rep3;sample;sample;NA;43;L10_0.45_June22;3
44-rep3;sample;sample;NA;44;L11_0.45_June22;3
45-rep3;sample;sample;NA;45;L12_0.45_June22;3
46-rep3;sample;sample;NA;46;L1_0.45_July22;3
47-rep3;sample;sample;NA;47;L2_0.45_July22;3
48-rep3;sample;sample;NA;48;L3_0.45_July22;3
49-rep3;sample;sample;NA;49;L4_0.45_July22;3
50-rep3;sample;sample;NA;50;L5_0.45_July22;3
51-rep3;sample;sample;NA;51;L6_0.45_July22;3
52-rep3;sample;sample;NA;52;L7_0.45_July22;3
53-rep3;sample;sample;NA;53;L8_0.45_July22;3
54-rep3;sample;sample;NA;54;L9_0.45B_July22;3
55-rep3;sample;sample;NA;55;L9_0.45O_July22;3
56-rep3;sample;sample;NA;56;L9_0.45R_July22;3
58-rep3;sample;sample;NA;58;L10_0.45_July22;3
N01-rep1;negative_control;control;pcr;N01;N01;1
N02-rep1;negative_control;control;pcr;N02;N02;1
N03-rep1;negative_control;control;pcr;N03;N03;1
N04-rep1;negative_control;control;pcr;N04;N04;1
N05-rep1;negative_control;control;pcr;N05;N05;1
N06-rep1;negative_control;control;pcr;N06;N06;1
N07-rep1;negative_control;control;pcr;N07;N07;1
N08-rep1;negative_control;control;pcr;N08;N08;1
N01-rep2;negative_control;control;pcr;N01;N01;2
N02-rep2;negative_control;control;pcr;N02;N02;2
N03-rep2;negative_control;control;pcr;N03;N03;2
N04-rep2;negative_control;control;pcr;N04;N04;2
N05-rep2;negative_control;control;pcr;N05;N05;2
N06-rep2;negative_control;control;pcr;N06;N06;2
N07-rep2;negative_control;control;pcr;N07;N07;2
N08-rep2;negative_control;control;pcr;N08;N08;2
N01-rep3;negative_control;control;pcr;N01;N01;3
N02-rep3;negative_control;control;pcr;N02;N02;3
N03-rep3;negative_control;control;pcr;N03;N03;3
N04-rep3;negative_control;control;pcr;N04;N04;3
N05-rep3;negative_control;control;pcr;N05;N05;3
N06-rep3;negative_control;control;pcr;N06;N06;3
N07-rep3;negative_control;control;pcr;N07;N07;3
N08-rep3;negative_control;control;pcr;N08;N08;3
P01-rep1;positive_control;control;positive;P01;P01;1
P02-rep1;positive_control;control;positive;P02;P02;1
P03-rep1;positive_control;control;positive;P03;P03;1
P04-rep1;positive_control;control;positive;P04;P04;1
P05-rep1;positive_control;control;positive;P05;P05;1
P06-rep1;positive_control;control;positive;P06;P06;1
P07-rep1;positive_control;control;positive;P07;P07;1
P08-rep1;positive_control;control;positive;P08;P08;1
P01-rep2;positive_control;control;positive;P01;P01;2
P02-rep2;positive_control;control;positive;P02;P02;2
P03-rep2;positive_control;control;positive;P03;P03;2
P04-rep2;positive_control;control;positive;P04;P04;2
P05-rep2;positive_control;control;positive;P05;P05;2
P06-rep2;positive_control;control;positive;P06;P06;2
P07-rep2;positive_control;control;positive;P07;P07;2
P08-rep2;positive_control;control;positive;P08;P08;2
P01-rep3;positive_control;control;positive;P01;P01;3
P02-rep3;positive_control;control;positive;P02;P02;3
P03-rep3;positive_control;control;positive;P03;P03;3
P04-rep3;positive_control;control;positive;P04;P04;3
P05-rep3;positive_control;control;positive;P05;P05;3
P06-rep3;positive_control;control;positive;P06;P06;3
P07-rep3;positive_control;control;positive;P07;P07;3
P08-rep3;positive_control;control;positive;P08;P08;3
B01-rep1;blank;control;sequencing;B01;B01;1
B02-rep1;blank;control;sequencing;B02;B02;1
B03-rep1;blank;control;sequencing;B03;B03;1
B04-rep1;blank;control;sequencing;B04;B04;1
B05-rep1;blank;control;sequencing;B05;B05;1
B06-rep1;blank;control;sequencing;B06;B06;1
B07-rep1;blank;control;sequencing;B07;B07;1
B08-rep1;blank;control;sequencing;B08;B08;1
B09-rep1;blank;control;sequencing;B09;B09;1
B10-rep1;blank;control;sequencing;B10;B10;1
B11-rep1;blank;control;sequencing;B11;B11;1
B12-rep1;blank;control;sequencing;B12;B12;1
B01-rep2;blank;control;sequencing;B01;B01;2
B02-rep2;blank;control;sequencing;B02;B02;2
B03-rep2;blank;control;sequencing;B03;B03;2
B04-rep2;blank;control;sequencing;B04;B04;2
B05-rep2;blank;control;sequencing;B05;B05;2
B06-rep2;blank;control;sequencing;B06;B06;2
B07-rep2;blank;control;sequencing;B07;B07;2
B08-rep2;blank;control;sequencing;B08;B08;2
B09-rep2;blank;control;sequencing;B09;B09;2
B10-rep2;blank;control;sequencing;B10;B10;2
B11-rep2;blank;control;sequencing;B11;B11;2
B12-rep2;blank;control;sequencing;B12;B12;2
B01-rep3;blank;control;sequencing;B01;B01;3
B02-rep3;blank;control;sequencing;B02;B02;3
B03-rep3;blank;control;sequencing;B03;B03;3
B04-rep3;blank;control;sequencing;B04;B04;3
B05-rep3;blank;control;sequencing;B05;B05;3
